sentence,processing_sentence
연고객요청사항대중대 화면정상음성만안나옴리모컨음량확인재부팅안내방문지연불만극심 시이전오라고선종료함후 오전시전어렵고 내일최대한빨리방문요청함안내확답어려움안내 코로나이상무회선단말특이사항진단결과기타추가연락처,연 고객 요청사항 대중 대 화면 정상 음성만 안 나옴 리모컨 음량 확인 재부팅 안내 방문지 연 불만 극심 시 이전 오라고 선 종료함 후 오전 시 전 어렵고 내일 최대한 빨리 방문 요청함 안내 확답 어려움 안내 코로나 이 상무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 기가지니전원눌러도반응없음 기가지니전원동일 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 기가 지니 전원 눌러도 반응 없음 기가 지니 전 원동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불  대는 되고 대는 된다고함 대는 확인불가 회선단말특이사항진단결과 정상 기타추가연락처,고객 요청사항 수신 불 대는 되고 대는 된다고 함 대는 확인 불가 회선 단말 특이사항 진단 결과 정상 기타 추가 연락처
고객요청사항 수신불   네트워크 오류 장기간 사용안함 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 장기간 사용 안 함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 접수중 잘됨 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 접수 중 잘 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 파손접수,리모컨 파손 접수
접수보류 임의회선수신불수신카드 오류수신카드 재장착 모든장비재부팅안내,접수 보류 임의회 선수신 불수산 카드 오류 수신카드 재장착 모든 장비 재부팅 안내
고객요청사항장애안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 장애 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 음성안나옴화면정상리셋기타추가연락처연후방,고객 요청사항 이 성 안 나옴 화면 정상리 셋 기타 추가 연락처 연후방
고객요청사항코로나 이상무 재확인필    방문요청건 대 리모컨작동불재부팅안내  회선단말특이사항진단결과기타추가연락처,고객 요청사항 코로나 이 상무 재확인 필 방문 요청 건 대 리모컨 작동 불 재부팅 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
안됨재부팅후 정상사용됨,안됨 재부팅 후 정상 사용됨
고객요청사항수신불신없음외부입력확인함리셋,고객 요청사항 수신 불신 없음 외부 입력 확인한 리셋
고객요청사항 안심권유  유투브 실행이 안됨 방문전 연락 회선단말특이사항진단결과기타추가연락처,고객 요청사항 안심권 유 유튜브 실행이 안됨 방문 전 연락 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
일오후시안내함 티비수신불재부팅안내함 ,일 오후 시안 내함 티브이 수 신불 재부팅 안내함
고객요청사항 화질이상 리셋후 정상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 리셋 후 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
최대한 빠른방문요청     켤때 항상 셋탑을 켜라는 메세지가뜨고 채널변경시에도 화면전환느림편성표가 느리게뜸 재부팅후 동일코로나 무,최대한 빠른 방문 요청 켤 때 항상 셋탑을 켜라는 메시지가 뜨고 채널 변경 시에도 화면 전환 느림 편성표가 느리게 뜸 재부팅 후 동일 코로나 무
고객요청사항수신불량회선단말특이사항코로나 무 진단결과비정상기타추가연락처,고객 요청사항 수신 불량 회선 단말 특이사항 코로나 무 진단 결과 비정상 기타 추가 연락처
안심권유연락먼저 필 고객요청사항  시청불인터넷 연결 오류 나옴모든장비 재부팅 안내회선단말특이사항진단결과기타추가연락처 통화 안되면 문자요청,안심 권유 연락 먼저 필 고객 요청사항 시청 불이 인터넷 연결 오류 나옴 모든 장비 재부팅 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처 통화 안 되면 문자 요청
고객요청사항수신불로딩중리셋,고객 요청사항 수신 불로 딩 중리 셋
빠른방문요고객요청사항수신불네트워크연결오류포트리셋전체리셋코로나 이상무 재확인필회선단말특이사항진단결과모뎀정상기타추가연락처인,빠른 방문요 고객 요청사항 수신 불 네트워크 연결 오류 포트 리셋 전체 리셋 코로나 이 상무 재확인 필 회선 단말 특이사항 진단 결과 모뎀 정상기 타 추가 연락처인
고객요청사항리모컨안됨 매장방문거부 택배접수 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 안됨 매장 방문 거부 택배 접수 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불접수안내했으나 보류하심회선단말특이사항진단결과코로나이상무기타추가연락처,고객 요청사항 수신 부을 접수 안내했으나 보류하심 회선 단말 특이사항 진단 결과 코로나 이상무 기타 추가 연락처
고객요청사항수신불량 화요일이 휴무라서 댁에 게신다고 일 방문요청회선단말특이사항코로나 무 진단결과정상기타추가연락처,고객 요청사항 수신 불량 화요일이 휴무라서 댁에 게 신다고 일 방문 요청회 선 단말 특이사항 코로나 무 진단 결과 정상기 타 추가 연락처
삼성리모컨 제어안됨 삼성제조사로설정문의안내기가지니리모컨페어링후정상작동됨,삼성 리모컨 제어 안됨 삼성 제조사로 설정 문의 안내기가 지니 리모컨 페어링 후 정상 작동됨
고객요청사항수신불셋탑녹색불만들어옴수동으로 눌러도 녹색불 리셋만접수보류해지징후회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불셋탑 녹색 불만 들어 온수동으로 눌러도 녹색 불 리셋만 접수 보류 해지 징후 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 시청되나 넷플릭스만안됨세톱박스리셋시반이후 방문원함회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 되나 넷플릭스만 안됨세 톱 박스 리셋 시반 이후 방문 원함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화면안나옴음성정상재부팅후 정상시청됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 화면 안 나옴 음성 정상 재부팅 후 정상 시청됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항올레티비 탭 연결이 안됨리붓동일 방송신가 고르지 못하다고만 나옴다른 방들 티비도 시청시 모자이크가 자주 발생함방문시 같이 점검원함회선단말특이사항진단결과기타추가연락처,고객 요청사항 올레티브이 탭 연결이 안됨리 붓 동일 방송인가 고르지 못하다고만 나옴 다른 방들 티브이도 시청 시 모자이크가 자주 발생함 방문 시 같이 점검 원함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불무출동회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 수신 불무 출동 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
연고객요청사항 대모두안됨수신불로딩중 나옴늦게 일찍오라고불만최대한빨리방문요 연락후방문요회선단말특이사항코로나이상무진단결과올인홈포트비정상기타추가연락처,연 고객 요청사항 대 모두 안됨 수신 불로 딩 중 나옴 늦게 일찍 오라고 불만 최대한 빨리 방문요 연락 후 방문이 회선 단말 특이사항 코로나 이 상무 진단 결과 올인 홈 포트 비정상기 타 추가 연락처
고객요청사항리모컨작동불본인통화후 배우자 번로 문자발송 발송함회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 부을 본인 통화 후 배우자 번로 문자 발송 발송함 회선 단말 특이사항 진단 결과 기타 추가 연락처
일오후시안내함 티비수신불 로딩중뜬다심 재부팅안내함,일 오후 시안 내함 티브이 수 신불 로딩 중 뜬 다음 재부팅 안내함
고객요청사항셋탑 오작동 리모콘 켜지 않았는데 저절로 켜질때가 간혹 있음 자동전원 여쭤봤으나 시간도 불특정하다고함회선단말특이사항코로나 무 진단결과기타추가연락처,고객 요청사항 셋탑 오작동 리모컨 켜지 않았는데 저절로 켜질 때가 간혹 있음 자동 전원 여쭤봤으나 시간도 불특정하다고 한 회 선 단말 특이사항 코로나 무 진단 결과 기타 추가 연락처
고객요청사항  화질이상 리셋후 정상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 리셋 후 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항  대기가지니 시청불인터넷 연결오류나옴모든장비 재부팅 안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 대기가 지니 시청 불이 인터넷 연결 오류나 옴 모든 장비 재부팅 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항  수신불미리연락후방문시간  일 방문원함참고  오전시이후 의뢰후 익일  발송예정,요청사항 수신 불미리 연락 후 방문 시간 일 방문 원함 참고 오전 시 이후 의뢰 후 익일 발송 예정
리콜 리모컨편성표만안됨 안들어와교체신청 택배접수함등록,리콜 리모컨 편성표만 안됨 안 들어와 교체 신청 택배 접수함 등록
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
